month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,,-100,,,,-100,,,,,,,,,,,,,,,,,,,,,,,
Jan,Buses,,,-100,,,,-100,,,,,,,,,,,,,,,,,,,,,,,
Jan,Pedestrians,,209.090909,-50,-35.294118,-9.090909,110,-71.428571,83.333333,63.636364,-88.888889,-100,,,,,,,,,,,,,,-100,,,,,
Jan,Personal Vehicle Passengers,,-37.284444,22.9233,27.054391,-10.433655,-36.478378,-25.928339,20.668426,-16.144315,13.472403,103.485255,-71.277997,59.698558,-17.603611,20.667331,-5.695419,30.503282,0.972502,17.70176,6.687359,-19.20127,-3.927987,2.793867,3.24826,-1.284109,-98.243902,864.814815,164.87524,9.492754,15.221707
Jan,Personal Vehicles,,-37.275986,22.952381,27.033308,-10.243902,-36.616848,-25.937835,20.694645,-15.107914,4.237288,11.246612,-18.270402,45.752608,-9.713701,22.423556,-8.325624,31.079717,0.307929,19.493477,5.780347,-9.532483,-6.241611,0.143164,4.503217,-1.983584,-96.720167,500,137.588652,10.149254,17.073171
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Total People,,-36.349736,21.314698,26.858686,-10.387399,-36.120348,-26.351016,20.801077,-15.658958,10.703667,83.049836,-64.183241,55.439235,-15.34407,21.203736,-6.506849,30.677656,0.770848,18.24293,6.410508,-16.267502,-4.686469,1.939058,3.668478,-1.529052,-97.759539,695.049505,155.292653,9.707317,15.829257
Jan,Total Vehicles,,-1.694915,206.034483,-64.507042,0.793651,81.889764,0.4329,-21.982759,-20.994475,-39.160839,44.827586,-58.730159,61.538462,-11.904762,-70.27027,81.818182,7.5,-67.44186,-64.285714,-100,,,300,69.444444,-17.213115,105.940594,18.75,-64.37247,125,-53.535354
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,-50,-100,,,,,83.333333,-63.636364,75,85.714286,-100,,,,,,,,,,,300,-83.333333,33.333333,787.5,-52.112676,-79.411765,300,-32.142857
Jan,Truck Containers Loaded,,48.387097,295.652174,-66.483516,-1.639344,90,-5.263158,-28.703704,-10.38961,-46.376812,35.135135,-100,,,,,,,,,,,,,-23.636364,-21.428571,166.666667,-56.818182,94.736842,-63.513514
Jan,Trucks,,-11.940299,193.220339,-62.427746,3.076923,73.134328,1.724138,-21.186441,-24.731183,-38.571429,46.511628,-17.460317,61.538462,-11.904762,-70.27027,81.818182,7.5,-67.44186,-64.285714,-100,,,300,69.444444,-16.393443,103.921569,20.192308,-65.6,123.255814,-52.083333
Feb,Bus Passengers,,,-16.666667,-37.5,-88,-100,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Buses,,,-50,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Pedestrians,,131.578947,-27.272727,-46.875,-23.529412,-46.153846,128.571429,6.25,-64.705882,-16.666667,-100,,,,,,,,,,,,,,-100,,,,,-100
Feb,Personal Vehicle Passengers,,-14.077185,15.266465,18.251565,-14.222298,-46.437102,-11.817168,5.941846,13.643596,3.570179,-11.76073,-36.844121,82.474227,-15.121303,30.814409,-4.489674,26.198684,16.414204,-1.535836,0.519931,-15.991379,4.566444,-18.253189,6.632653,12.777934,-98.752184,3930,-25.062035,61.854305,-21.603928
Feb,Personal Vehicles,,-14.078947,15.543645,17.826375,-14.116985,-46.43091,-11.858191,5.963939,15.052356,-3.754266,-11.820331,-7.372654,69.175109,-11.548332,25.435203,-1.156515,27.223089,19.374617,-6.009245,2.459016,-12,5.333333,-22.036824,6.273063,17.847222,-97.348262,2184.444444,-31.712062,49.145299,-15.56829
Feb,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Total People,,-12.920489,14.732221,17.493113,-14.458773,-46.459571,-11.547213,5.948553,13.566009,1.81721,-11.889764,-30.294906,78.547009,-14.121589,29.264214,-3.557568,26.492287,17.267586,-2.848531,1.070431,-14.842671,4.794521,-19.384245,6.550032,14.21706,-98.334502,3103.157895,-27.308577,57.866184,-19.816724
Feb,Total Vehicles,,-8.888889,213.414634,-77.042802,50.847458,85.393258,7.272727,-23.728814,9.62963,-20.945946,-24.786325,-31.818182,25,16,-79.310345,127.777778,41.463415,-24.137931,-52.272727,-100,,,343.75,-4.225352,17.647059,93.75,2445.806452,-97.820578,200,-55.813953
Feb,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Truck Containers Empty,,-70.588235,-100,,,,100,50,-16.666667,-20,75,-100,,,-100,,,,,,,,275,-90,-100,,667.5,-96.742671,40,150
Feb,Truck Containers Loaded,,9.677419,273.529412,-77.952756,57.142857,79.545455,2.531646,-25.925926,13.333333,-19.117647,-32.727273,-100,,,-100,,,,,,,,,416.666667,29.032258,-5,4418.421053,-98.019802,294.117647,-83.58209
Feb,Trucks,,-2.380952,214.634146,-76.744186,46.666667,90.909091,9.52381,-25,8.695652,-22.666667,-24.137931,36.363636,25,-25.333333,-67.857143,127.777778,41.463415,-24.137931,-52.272727,-100,,,337.5,-2.857143,17.647059,92.5,2396.103896,-97.814776,161.904762,-48.181818
Mar,Bus Passengers,,,65,-100,,,-68.085106,-100,,-100,,,,,,,,,,,-100,,,,,,,,,
Mar,Buses,,,0,-100,,,-50,-100,,-100,,,,,,,,,,,,,,,,,,,,
Mar,Pedestrians,,-41.666667,28.571429,-33.333333,-61.111111,357.142857,-56.25,-21.428571,-54.545455,-40,-100,,,,,,,,-100,,,,,,-100,,,,,
Mar,Personal Vehicle Passengers,,-19.141293,-1.861646,32.701013,-20.419103,-35.925699,-15.833068,-2.346707,10.930233,6.743536,-6.382979,-38.111888,72.485876,-29.839502,35.154062,-1.727116,15.043937,32.936144,-12.962537,-13.651967,11.529052,-3.262956,6.405896,-14.597762,-65.470992,-95.934959,1980,44.871795,48.672566,-20.585317
Mar,Personal Vehicles,,-19.133371,-1.878914,32.695035,-20.416889,-35.930154,-15.828092,-2.366127,11.607143,-0.228571,-6.414662,-0.979192,54.388133,-25.540432,37.634409,-2.96875,18.599034,47.793618,-21.129995,-9.260338,11.617458,1.840138,-4.686618,-8.767773,-60.454545,-93.103448,976.190476,52.212389,44.331395,-16.515609
Mar,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,Total People,,-18.46194,-1.120897,30.283401,-20.509633,-34.026583,-17.302678,-3.267412,10.962963,4.966622,-6.46146,-29.8613,66.808841,-28.591353,35.904948,-2.107784,16.124297,37.568479,-15.699188,-11.809593,10.960033,-1.615299,2.698622,-12.752664,-63.858467,-94.93007,1495.402299,47.262248,47.21135,-19.242273
Mar,Total Vehicles,,9.333333,109.756098,-52.906977,25.925926,0,88.235294,-42.708333,40.909091,-42.580645,6.741573,-30.526316,25.757576,54.216867,-82.8125,109.090909,34.782609,132.258065,-98.611111,-100,,,360,-39.855072,162.650602,27.981651,-56.989247,-2.5,141.880342,-76.678445
Mar,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,Truck Containers Empty,,0,-100,,,,,-57.142857,-33.333333,0,650,-100,,,-100,,,,,,,,253.846154,-93.478261,200,966.666667,-80.208333,-5.263158,-5.555556,-29.411765
Mar,Truck Containers Loaded,,-7.407407,244,-51.162791,19.047619,0,88,-42.553191,38.888889,-38.666667,-28.26087,-100,,,-100,,,,,,,,1400,30,210.25641,-65.289256,-2.380952,2.439024,261.904762,-86.184211
Mar,Trucks,,21.212121,110,-53.571429,33.333333,-3.846154,80,-41.111111,45.283019,-46.753247,14.634146,40.425532,25.757576,-1.204819,-73.170732,109.090909,34.782609,132.258065,-98.611111,-100,,,313.333333,-33.870968,114.634146,60.227273,-57.446809,-5,100,-71.052632
Apr,Bus Passengers,,,-100,,,,244.444444,-100,,,,-100,,-100,,,,,,,,,,,-100,,,,,
Apr,Buses,,,-100,,,,100,-100,,,,-100,,-100,,,,,,,,,,,-100,,,,,
Apr,Pedestrians,,58.823529,-33.333333,-100,,42.857143,50,0,-26.666667,-54.545455,-80,-100,,,,,,,,,,,,,,,,,,
Apr,Personal Vehicle Passengers,,-36.728944,29.528943,12.936494,-23.10157,-39.958333,12.977099,-6.019656,22.45098,-8.086469,-38.037166,-0.515464,23.410268,7.557252,29.66643,0.875753,0.406945,-12.456093,40.833333,-10.716634,-23.932253,9.712811,-9.5,16.607085,-97.742475,-16.049383,2267.647059,1.055901,19.483712,-23.096708
Apr,Personal Vehicles,,-36.731707,29.529684,-14.464286,1.530967,-39.958876,12.671233,-5.26849,23.315508,-14.657415,8.434959,-10.871603,18.506835,5.146406,-1.181435,30.657558,1.24183,-5.745642,40.684932,-9.3963,-7.845244,6.180758,-20.647996,14.256055,-96.910963,3.921569,1286.792453,9.52381,23.975155,-22.244489
Apr,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Total People,,-36.409034,28.948777,6.283737,-18.400833,-39.004149,16.274202,-9.765977,22.468828,-9.733252,-27.746447,-4.027474,22.739102,6.095945,20.534599,8.103627,0.65184,-10.47619,40.787234,-10.306786,-18.887953,8.454508,-13.38824,16.054843,-97.484756,-8.333333,1838.016529,3.710021,20.970395,-22.807614
Apr,Total Vehicles,,3.846154,127.777778,-73.170732,63.636364,-14.814815,93.478261,-3.370787,-27.906977,2.419355,-12.598425,-33.333333,50,-26.126126,-87.804878,350,-62.222222,0,82.352941,-90.322581,-33.333333,11100,-61.607143,17.44186,-29.70297,185.915493,-55.172414,-2.197802,107.865169,-65.405405
Apr,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Truck Containers Empty,,-16.666667,-100,,,,,-33.333333,0,225,7.692308,-100,,,,,,,,,,,-60.909091,-97.674419,0,5800,-76.271186,-28.571429,260,-72.222222
Apr,Truck Containers Loaded,,13.157895,172.093023,-75.213675,65.517241,-6.25,91.111111,-8.139535,-26.582278,-10.344828,-25,-100,,,,,,,,,,,-100,,-26.530612,11.111111,-20,9.375,80,-65.079365
Apr,Trucks,,0,138.888889,-71.317829,62.162162,-25,82.222222,8.536585,-30.337079,0,-8.064516,29.824561,48.648649,-25.454545,-87.804878,350,-62.222222,0,82.352941,-90.322581,-33.333333,5500,-61.607143,16.27907,-32,205.882353,-56.730769,-2.222222,95.454545,-62.790698
May,Bus Passengers,,,-9.090909,-100,,47.317073,-86.423841,458.536585,-100,,,-100,,-100,,,,-100,,,,-100,,,-100,,,,,
May,Buses,,,0,-100,,50,-83.333333,300,-100,,,-100,,-100,,,,-100,,,,-100,,,-100,,,,,
May,Pedestrians,,11.764706,-5.263158,-38.888889,27.272727,42.857143,-85,300,-25,-66.666667,-100,,,,,,,,,,,,,,-100,,,,-66.666667,-100
May,Personal Vehicle Passengers,,-4.700216,9.044963,8.326674,-39.465919,-21.179625,11.719233,-8.746194,26.569609,-6.398275,-19.303635,-22.620558,41.451415,-0.724638,12,-8.237748,11.107955,13.270263,12.21219,-4.626836,-14.258595,-3.148831,10.439421,-0.50598,-97.064263,-32.283465,1811.627907,53.163017,7.267673,-24.731581
May,Personal Vehicles,,-4.699454,9.059633,7.991588,-39.289192,-21.17081,11.698881,-8.469945,27.761194,-13.084112,182.437276,-65.958122,38.024231,3.646185,8.208469,-4.093919,9.47897,13.818807,16.221662,-2.904205,-10.401786,-0.398605,4.002001,-3.415103,-95.567729,-30.337079,1251.612903,48.926014,4.246795,-19.600307
May,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
