month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,162.903226,-30.674847,-53.097345,49.056604,182.278481,-87.892377,155.555556,-100,,-48.039216,45.283019,-100,,-14.150943,3.296703,-14.893617,25,-56,2.272727,-44.444444,116,-100,,,-100,,-100,,
Jan,Buses,,50,0,-33.333333,50,66.666667,-40,-33.333333,-100,,-50,100,-100,,0,0,0,50,-66.666667,0,0,0,-100,,,-100,,-100,,
Jan,Pedestrians,,,,,,,,,,,,,,,,,,,,,-100,,,-100,,0,700,-100,,-100
Jan,Personal Vehicle Passengers,,10.535822,-19.553377,14.421124,-28.639053,-13.101161,-5.534351,-18.888889,-82.938979,517.518248,-15.957447,35.443038,-100,,49.192547,-16.902581,43.787575,7.526132,7.453014,-5.428227,-9.821429,-0.141443,-6.515581,-2.045455,3.016241,-96.621622,931.111111,70.474138,-4.804046,13.413015
Jan,Personal Vehicles,,12.133891,-22.761194,15.458937,-19.525802,-9.185442,-11.259542,-14.193548,-91.97995,971.875,1.457726,25.862069,-49.543379,81.900452,48.00995,-16.638655,48.58871,-2.035278,17.036011,-8.16568,-7.474227,0.696379,-2.766252,-5.12091,-0.89955,-95.15885,650,58.75,3.674541,2.025316
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Total,,14.325397,-19.784797,8.870619,-23.330684,-0.05184,-20.695021,-13.996076,-82.813688,484.513274,-14.231643,35.039718,-85.555556,529.864253,40.732759,-15.97754,47.2661,16.212871,-6.780263,13.937548,-24.665775,21.206744,-23.499268,-3.923445,3.685259,-94.81268,592.592593,66.84492,-0.721154,7.263923
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,0,-100,,,-100,,,,,-100,,,,,-50,-33.333333,400,-60,50,-16.666667,160,30.769231,-11.764706,-46.666667,37.5,36.363636,73.333333,65.384615,-44.186047
Jan,Truck Containers Loaded,,-10.810811,48.484848,-48.979592,8,137.037037,-67.1875,0,-19.047619,-23.529412,-100,,-100,,,-7.142857,211.538462,158.024691,-84.688995,493.75,-77.368421,686.046512,-94.674556,-38.888889,27.272727,-64.285714,-60,550,-92.307692,1400
