month,crossingType,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,,-53.125,-100,,,,-100,,,,,,-100,,,,,,,,,
Jan,Buses,,,0,-100,,,,-100,,,,,,-100,,,,,,,,,
Jan,Pedestrians,,,,,,,,,,,,,,,,,,,,,,,
Jan,Personal Vehicle Passengers,,,-13.763896,12.891344,-15.660685,20.954223,-34.648188,20.717781,-46.283784,79.496855,11.422565,0.566038,-19.011882,-1.467181,-19.514107,8.373905,6.648697,-13.90059,-87.76908,280,91.789474,5.927552,-14.300518
Jan,Personal Vehicles,,,-18.808777,18.339768,27.895595,19.642857,-34.648188,20.717781,-30.810811,30.46875,13.323353,-2.509908,-12.601626,1.860465,-9.436834,-10.588235,-0.18797,-7.532957,-85.539715,254.929577,90.47619,8.125,-11.368015
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Jan,Total,,,-8.910235,1.054545,1.367398,16.151935,-31.937653,15.267176,-37.943124,37.915882,21.756941,-6.728972,-16.392786,7.957814,-13.898757,1.134605,21.417644,-28.349433,-75.439625,93.794749,84.359606,2.53841,-11.856678
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,,300,275,6.666667,112.5,-47.058824,0,-33.333333,-16.666667,20,-100,,,,-100,,-50,-50,100,-100,,-70
Jan,Truck Containers Loaded,,,23.809524,-47.902098,51.006711,-13.333333,-15.384615,-6.060606,-15.483871,-69.465649,280,-100,,,,2.840909,129.281768,-73.975904,6.481481,-60,45.652174,-68.656716,90.47619
Jan,Trucks,,,44.615385,-42.198582,47.852761,-4.979253,-22.270742,-2.247191,-17.816092,-63.636364,215.384615,-3.658537,-16.455696,141.666667,-56.112853,-3.571429,80.740741,-65.983607,28.915663,-65.420561,5.405405,-48.717949,15
Feb,Bus Passengers,,,-8,-60.869565,108.333333,-100,,,,,,,,,-63.043478,-100,,,,,,,
Feb,Buses,,,0,0,0,-100,,,,,,,,,0,-100,,,,,,,
Feb,Pedestrians,,,,,,,,,,,,,,,,,,,,,,,
Feb,Personal Vehicle Passengers,,,7.616849,12.600536,-36.571429,41.441441,-24.946921,16.831683,-31.416465,106.884378,4.650171,-18.95638,-25.150905,-29.83871,28.065134,-26.551982,-29.022403,59.110473,-93.778179,1252.173913,2.893891,6.041667,-20.333988
Feb,Personal Vehicles,,,13.011152,15.131579,-4.857143,41.441441,-24.946921,16.831683,-23.486683,57.753165,6.72016,-19.548872,-22.780374,-22.390318,15.009747,-27.457627,-18.925234,47.550432,-90.234375,866,-2.484472,9.341826,-20.582524
Feb,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Feb,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Feb,Total,,,11.456024,10.974801,-27.128772,34.563346,-25.19805,16.252546,-31.359495,80.653395,6.527268,-23.156499,-22.74767,-15.192136,12.118019,-23.778195,-16.584464,47.89357,-83.408296,424.39759,-12.291786,2.357564,-16.954575
Feb,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Feb,Trains,,,,,,,,,,,,,,,,,,,,,,,
Feb,Truck Containers Empty,,,33.333333,87.5,20,88.888889,-55.882353,20,-44.444444,180,-75,-100,,,,-80,100,50,33.333333,400,-100,,-37.5
Feb,Truck Containers Loaded,,,26.627219,13.551402,-32.510288,20.731707,-25.757576,15.646259,-48.823529,-17.241379,69.444444,-100,,,,34.883721,57.758621,28.961749,-52.118644,39.823009,-60.126582,-85.714286,388.888889
Feb,Trucks,,,43.670886,10.572687,-27.49004,23.076923,-23.214286,9.302326,-48.404255,1.030928,26.530612,-57.258065,67.924528,178.651685,-69.758065,26.666667,30.526316,13.709677,-31.914894,53.125,-77.55102,-60.606061,123.076923
Mar,Bus Passengers,,,-100,,-100,,-100,,-100,,,,,,,,,-100,,,,,
Mar,Buses,,,-100,,-100,,-100,,-100,,,,,,,,,-100,,,,,
Mar,Pedestrians,,,,,,,,,,,,,,,,,,,,,,,
Mar,Personal Vehicle Passengers,,,5.326633,-9.398855,9.426014,11.453321,-32.037997,29.606099,-25.245098,45.04918,13.607595,-28.133705,-13.122924,2.613129,-11.055901,3.561453,-16.722859,-53.684211,-81.993007,473.786408,47.715736,40.893471,-16.422764
Mar,Personal Vehicles,,,5.119454,2.75974,64.139021,11.453321,-32.037997,29.606099,-16.470588,-3.99061,42.176039,-25.27945,-11.737629,-4.041721,-7.472826,-1.321586,-11.458333,-47.058824,-75.238095,320.512821,39.939024,31.372549,-9.784411
Mar,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Mar,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Mar,Total,,,14.384812,-5.266518,25.842318,3.507363,-29.203311,24.187066,-23.065608,29.369025,15.075377,-29.617262,-11.89781,9.693455,-9.629909,4.513163,-17.632947,-36.116505,-69.3769,206.203474,14.343598,32.034018,-8.534622
Mar,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Mar,Trains,,,,,,,,,,,,,,,,,,,,,,,
Mar,Truck Containers Empty,,,,-33.333333,162.5,-14.285714,-36.111111,30.434783,-40,-11.111111,-43.75,-100,,,,100,50,-66.666667,1500,-100,,,650
Mar,Truck Containers Loaded,,,228.571429,5.978261,35.897436,-43.018868,9.271523,-24.848485,-18.548387,62.376238,-39.634146,-100,,,,27.950311,-40.776699,121.311475,-61.111111,88.571429,-76.262626,-65.957447,325
Mar,Trucks,,,267.241379,-1.408451,48.095238,-39.871383,0.534759,-18.085106,-22.727273,45.378151,-36.99422,-40.366972,20,287.179487,-60.927152,16.949153,-32.608696,69.892473,-36.075949,15.841584,-72.649573,-62.5,308.333333
Apr,Bus Passengers,,,-100,,,-27.710843,-100,,,,-100,,,,,,,,,,,,
Apr,Buses,,,-100,,,-50,-100,,,,-100,,,,,,,,,,,,
Apr,Pedestrians,,,,,,,,,,,,,,,,,,,,,,,
Apr,Personal Vehicle Passengers,,,-17.3258,54.100228,-16.260163,-9.88526,6.366308,37.47698,-6.028131,9.479686,-7.552083,2.640845,-30.154374,-12.721022,3.826674,-3.414634,-12.345679,-95.006402,170.512821,379.146919,26.211672,3.291536,-21.623672
Apr,Personal Vehicles,,,-34.281437,105.46697,25.609756,-9.88526,6.366308,37.47698,11.922304,-22.860563,-0.775795,5.003909,-28.145942,-29.430052,26.872247,-9.259259,-5.229592,-91.92463,113.333333,308.59375,18.355641,12.439418,-23.41954
Apr,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Apr,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Apr,Total,,,-10.827212,46.955587,-0.7068,-15.586647,6.775225,39.406318,-1.992577,-3.687463,-9.933775,-0.344669,-28.245331,-15.263496,22.753129,-15.168366,-3.641661,-86.054422,159.891599,69.23879,22.550832,6.93816,-25.434885
Apr,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Apr,Trains,,,,,,,,,,,,,,,,,,,,,,,
Apr,Truck Containers Empty,,,260,-16.666667,186.666667,-25.581395,-46.875,135.294118,-45,0,-100,,,,,100,0,0,50,-83.333333,-100,,700
Apr,Truck Containers Loaded,,,112.121212,-16.785714,8.154506,-50,50.793651,47.368421,-12.857143,-18.032787,-79,-100,,,,-69.96904,101.030928,-32.820513,202.290076,-87.121212,9.803922,26.785714,-95.774648
Apr,Trucks,,,91.666667,-17.391304,19.433198,-46.779661,31.847134,54.589372,-14.375,-22.627737,-9.90566,-58.638743,40.506329,61.261261,13.407821,-61.083744,79.746835,-32.394366,127.083333,-83.027523,2.702703,7.894737,-78.04878
May,Bus Passengers,,,-100,,-100,,,,,,,-100,,,-100,,,,,,,,
May,Buses,,,-100,,-100,,,,,,,-100,,,-100,,,,,,,,
May,Pedestrians,,,,,,,,,,,,,,,,,,,,,,,
May,Personal Vehicle Passengers,,,17.3258,32.544141,-22.313049,26.812159,-16.717886,5.239852,30.364656,-0.591716,19.859307,-14.875847,-23.044285,-5.099931,-14.270153,7.878018,-15.704751,-94.876572,49.090909,618.902439,32.315522,17.628205,-27.629428
May,Personal Vehicles,,,-6.736527,76.725522,16.530427,26.812159,-16.717886,5.239852,40.673212,-17.79661,17.768344,-17.044284,-15.021726,-4.821037,-11.81888,2.959095,-12.679628,-92.739593,49.333333,475,25.621118,13.967862,-24.403471
May,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
May,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
May,Total,,,20.184089,30.935449,-11.385001,24.375295,-16.470811,2.836397,37.444837,-13.356879,19.584955,-15.401302,-20.750916,-3.258609,21.404682,-6.965762,-15.736041,-77.359438,-18.292683,174.626866,24.061265,13.85902,-28.926198
May,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
May,Trains,,,,,,,,,,,,,,,,,,,,,,,
May,Truck Containers Empty,,,2400,-68,81.25,75.862069,-56.862745,72.727273,-36.842105,-62.5,-100,,,,,50,50,-66.666667,133.333333,-14.285714,-83.333333,400,-40
May,Truck Containers Loaded,,,367.391304,-27.44186,-1.282051,-3.896104,0.675676,-40.268456,156.179775,-94.298246,-100,,,,,-36.619718,-23.015873,-5.56701,-36.026201,-59.044369,-36.666667,-19.736842,-100
May,Trucks,,,76.923077,-37.318841,21.387283,-6.666667,-12.755102,-25.730994,99.212598,-88.142292,166.666667,-2.5,-28.205128,98.214286,417.117117,-36.933798,-14.364641,-17.419355,-37.109375,-53.416149,-13.333333,-44.615385,-88.888889
Jun,Bus Passengers,,,,0,184,-100,,,,,,-100,,,21.917808,-29.213483,-20.634921,-100,,,,,
Jun,Buses,,,,0,100,-100,,,,,,-100,,,50,-33.333333,50,-100,,,,,
Jun,Pedestrians,,,,,,,,,,,,,,,,,,,,,,,
Jun,Personal Vehicle Passengers,,,-12.2957,3.211009,-9,-6.776557,-6.679764,-15.157895,45.740281,14.500568,11.10285,0.044613,-27.826087,1.575533,-0.091241,1.613394,-5.452367,-96.324461,93.103448,625.446429,73.230769,4.404973,-23.817625
Jun,Personal Vehicles,,,-24.956971,37.614679,35.916667,-6.376456,-6.679764,-15.157895,38.875103,9.946397,10.888407,1.270151,-23.68548,-6.700379,0.542005,2.695418,-4.068241,-94.254446,60.714286,504.444444,61.764706,5.909091,-25.965665
Jun,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Jun,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Jun,Total,,,-15.609756,11.027123,8.04966,-11.174944,-4.756937,-15.947426,39.19729,10.878113,11.550152,0.363306,-25.852187,0.203417,14.047909,-7.208971,-4.603875,-89.845164,87.722772,164.240506,65.948104,5.725283,-24.846416
Jun,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Jun,Trains,,,,,,,,,,,,,,,,,,,,,,,
Jun,Truck Containers Empty,,,566.666667,-25,246.666667,1.923077,-54.716981,83.333333,-43.181818,-68,-100,,,,,,150,200,6.666667,-100,,400,0
Jun,Truck Containers Loaded,,,-61.956522,97.142857,126.086957,-66.025641,128.301887,-52.066116,-24.137931,-70.454545,-100,,,,,-64.271047,-0.574713,-8.67052,126.582278,-88.268156,-76.190476,200,-56.666667
Jun,Trucks,,,-40.625,47.368421,147.619048,-49.038462,36.792453,-25.517241,-36.111111,-71.014493,125,60,34.722222,-10.309278,210.344828,-59.259259,12.727273,6.451613,62.878788,-89.767442,-50,109.090909,-52.173913
Jul,Bus Passengers,,,-20.16129,-78.787879,-19.047619,-100,,,,,,56.25,-100,,5.882353,250,-100,,,,,,
Jul,Buses,,,-16.666667,-60,-50,-100,,,,,,-25,-100,,0,100,-100,,,,,,
Jul,Pedestrians,,,,,,-100,,,,,,,,,,,,,,,,,
Jul,Personal Vehicle Passengers,,,2.045568,-3.92764,-16.20017,-100,,4.087912,24.725507,-6.009819,4.737032,-2.751505,-14.553492,-1.96606,-3.799873,-8.0316,9.234073,-97.204019,82.8125,989.74359,48.431373,13.051519,-29.422762
Jul,Personal Vehicles,,,-10.397196,28.09648,25.699746,-100,,3.632385,15.202703,-9.494135,1.863102,-0.755467,-7.171474,-2.028485,-10.132159,-11.176471,7.891832,-95.089514,47.916667,726.760563,44.207836,8.741878,-28.51711
Jul,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Jul,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Jul,Total,,,-5.47339,0.776149,-1.454768,-96.898648,2823.6,3.406759,17.412014,-5.217489,1.022471,-0.682594,-11.873445,-4.141455,5.119933,-12.38324,16.41791,-92.608582,21.238938,450.218978,52.109313,8.320251,-29.162641
Jul,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Jul,Trains,,,,,,,,,,,,,,,,,,,,,,,
Jul,Truck Containers Empty,,,312.5,-84.848485,360,86.956522,-62.790698,206.25,-59.183673,-40,-100,,,,,-100,,-20,75,-14.285714,116.666667,15.384615,26.666667
Jul,Truck Containers Loaded,,,-61.281337,-90.647482,2192.307692,-30.536913,6.763285,-19.909502,-39.548023,71.028037,-100,,,,,-42.806394,119.254658,-72.804533,0,-88.541667,568.181818,-73.469388,-64.102564
Jul,Trucks,,,-53.150685,63.157895,11.111111,-100,,-3.797468,-50.877193,74.107143,-65.641026,101.492537,113.333333,-63.888889,201.923077,-43.949045,127.272727,-63.75,-24.137931,-84.545455,458.823529,-62.105263,-16.666667
Aug,Bus Passengers,,,-100,,,-100,,-100,,,,,-100,,-100,,,,,,,,
Aug,Buses,,,-100,,,-100,,-100,,,,,-100,,-100,,,,,,,,
Aug,Pedestrians,,,,,,,,,,,,,,,,,,,-100,,,,
Aug,Personal Vehicle Passengers,,,26.96069,5.256004,-30.893959,-100,,5.347132,16.987311,13.278516,3.6139,3.443136,-42.334294,9.445277,13.493151,-2.011668,-7.452269,-95.807453,129.100529,409.930716,50.04529,32.991247,-37.358148
Aug,Personal Vehicles,,,14.411612,5.256004,3.659062,-100,,5.347132,23.536635,-3.247184,0.410959,3.342428,-35.016502,-1.168106,9.609455,1.640881,-2.859779,-94.681861,115.178571,359.3361,45.347787,24.487259,-38.092861
Aug,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Aug,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Aug,Total,,,23.092784,4.909966,-24.897715,-98.498538,6507.964602,2.946297,20.905425,6.660211,-1.80571,3.934662,-39.507759,5.718954,22.936631,-5.908977,-4.396045,-91.250874,59.105431,235.542169,56.074207,24.942485,-38.023631
Aug,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Aug,Trains,,,,,,,,,,,,,,,,,,,,,,,
Aug,Truck Containers Empty,,,2400,-36,93.75,0,38.709677,-34.883721,25,-57.142857,-100,,,,,-100,,0,80,-44.444444,180,85.714286,-61.538462
Aug,Truck Containers Loaded,,,47.161572,4.747774,-82.152975,30.15873,120.731707,-16.574586,71.523179,-6.177606,-100,,,,,-49.534451,21.03321,-45.731707,6.741573,-94.210526,1454.545455,-77.777778,-68.421053
Aug,Trucks,,,9.036145,-0.552486,-73.333333,-100,,-21.145374,48.603352,-2.255639,-64.230769,-21.505376,104.109589,-16.778523,150.806452,-44.051447,19.54023,-33.653846,-10.869565,-91.056911,890.909091,-59.633028,-61.363636
Sep,Bus Passengers,,,,,-4.347826,-100,,,,,,,,-41.104294,-100,,,,,,-100,,
Sep,Buses,,,,,0,-100,,,,,,,400,-60,-100,,,,,,-100,,
Sep,Pedestrians,,,,,,,,,,,,,,,,,,,-100,,,,
Sep,Personal Vehicle Passengers,,,,-24.331734,19.746377,-100,,15.959953,1.853733,6.158065,-9.981212,-16.436212,-18.638776,19.992325,4.541094,-28.112573,-1.234043,-93.838863,174.125874,333.673469,39.529412,9.064081,-38.461538
Sep,Personal Vehicles,,,48.423194,13.502399,19.746377,-100,,15.959953,28.745556,-18.2643,-9.700772,-12.025655,-21.202916,24.518119,-4.829721,-25.17892,0.608696,-90.579084,138.53211,254.615385,32.104121,9.277504,-37.941397
Sep,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Sep,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Sep,Total,,,351.06383,-15.718198,16.194259,-96.519577,2366.071429,17.795076,13.416321,-8.902439,-12.077941,-16.173236,-14.81332,18.005212,0.722746,-24.895356,3.582803,-87.573661,87.628866,201.648352,35.191257,9.78173,-38.68434
Sep,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Sep,Trains,,,,,,,,,,,,,,,,,,,,,,,
Sep,Truck Containers Empty,,,533.333333,10.526316,-4.761905,40,42.857143,-30,75,-89.795918,-100,,,,,200,0,200,-55.555556,50,50,55.555556,-100
Sep,Truck Containers Loaded,,,40.725806,-28.653295,-14.859438,-7.54717,-10.714286,55.428571,35.294118,-47.554348,-100,,,,,26.01626,59.354839,-51.417004,17.5,-68.085106,55.555556,17.142857,-41.463415
Sep,Trucks,,,65.022422,-24.728261,-16.245487,-100,,39.534884,39,-53.23741,6.153846,-49.275362,42.857143,-6,-38.297872,26.436782,59.090909,-42.285714,11.881188,-74.336283,44.827586,42.857143,-46.666667
Oct,Bus Passengers,,,,,-100,,121.276596,-100,,,,,,,,-100,,,,,,,
Oct,Buses,,,,,-100,,0,-100,,,,,-100,,,-100,,,,,,,
Oct,Pedestrians,,,,,,,,,,,,,,,,,,,-100,,-100,,
Oct,Personal Vehicle Passengers,,,-1.189296,-34.670679,72.671443,-29.756965,3.037975,35.380835,8.832426,-9.199555,6.427916,-15.616911,-26.107703,-9.317343,3.306205,-10.536681,0.38525,-92.050439,86.206897,466.666667,6.862745,17.920489,-29.564315
Oct,Personal Vehicles,,,2.677652,-2.006018,72.671443,-29.756965,3.037975,35.380835,-3.99274,-3.52867,4.898759,-10.336239,-27.152778,-4.003813,-6.355511,-4.984093,0.558036,-89.789123,96.73913,341.436464,3.754693,21.471653,-31.479643
Oct,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Oct,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Oct,Total,,,-3.305047,-23.510393,67.904589,-29.994605,3.210891,34.146341,5.435993,-10.487419,2.024769,-13.8921,-26.605505,-5.030488,7.736758,-16.060787,0.993965,-84.885764,108.837209,163.697105,4.180743,22.41589,-30.629139
Oct,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Oct,Trains,,,,,,,,,,,,,,,,,,,,,,,
Oct,Truck Containers Empty,,,1050,-30.434783,81.25,-6.896552,-18.518519,18.181818,126.923077,-89.830508,-100,,,,,300,-100,,85.714286,-92.307692,-100,,-4.761905
Oct,Truck Containers Loaded,,,-39.09465,14.864865,30,-46.606335,-12.711864,84.466019,0,-27.894737,-100,,,,,-80,43.181818,41.269841,179.775281,-90.361446,-91.666667,1300,-82.142857
Oct,Trucks,,,-27.234043,8.187135,35.135135,-42,-13.793103,72,15.813953,-41.365462,-26.712329,-13.084112,-32.258065,125.396825,1.408451,-63.888889,9.615385,63.157895,98.924731,-92.972973,-92.307692,3500,-38.888889
Nov,Bus Passengers,,,,,,,,,,,,,,,,,,,,,-100,,
Nov,Buses,,,,,,,,,,,,,,,,,,,,,-100,,
Nov,Pedestrians,,,,,,,,,,,,,,,,,,,,,,,
Nov,Personal Vehicle Passengers,,,-11.764706,-26.963907,70,-100,,2.838428,24.076433,-5.099247,11.3956,-34.800906,-7.845084,8.836207,-20.792079,-15.0625,0.588668,-92.684711,691,24.778761,57.852077,-12.195122,-23.611111
Nov,Personal Vehicles,,,-14.20765,8.917197,70.994152,-100,,2.882096,9.083192,-8.249027,13.231552,-30.486891,-6.896552,17.708333,-29.006883,-11.080332,-0.46729,-88.888889,536.619718,10.39823,49.8998,-4.278075,-29.329609
Nov,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,
Nov,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,
Nov,Total,,,-8.601307,-12.356979,53.067885,-96.929638,2520.138889,0.477074,19.493537,-9.580574,10.03418,-32.882183,-6.115702,9.577465,-19.248072,-13.410267,-3.492647,-86.047619,367.576792,11.678832,52.418301,-7.118353,-27.423823
Nov,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,
Nov,Trains,,,,,,,,,,,,,,,,,,,,,,,
Nov,Truck Containers Empty,,,,-12.5,7.142857,-13.333333,46.153846,-15.789474,18.75,-57.894737,-100,,,,,,100,100,50,-100,,,-76.923077
Nov,Truck Containers Loaded,,,33.884298,44.444444,-41.452991,-4.379562,14.503817,-24.666667,25.663717,-54.929577,-100,,,,,-7.070707,-51.086957,26.666667,8.77193,-82.258065,54.545455,111.764706,-72.222222
Nov,Trucks,,,48.333333,35.393258,-36.929461,-100,,-23.668639,25.581395,-55.555556,15.277778,0,44.578313,-37.5,22.666667,-10.869565,-42.682927,29.787234,-3.278689,-89.830508,50,266.666667,-75.757576
Dec,Bus Passengers,,,109.615385,-100,,,,,,,,,,,,,,,,,,,
Dec,Buses,,,50,-100,,,,,,,,,-100,,,,,,,,,,
Dec,Pedestrians,,,-100,,,,,,,,,,,,,,,,,,,,
