month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Pedestrians,,,,,,,,,,,0,-100,,,,,,,,,,,,,,,-100,,-100,
Jan,Personal Vehicle Passengers,,28.455285,-100,,,-33.469388,53.98773,-39.043825,-10.457516,-36.49635,26.436782,-32.727273,167.567568,-67.676768,37.5,26.136364,36.036036,-41.059603,21.348315,-22.222222,-8.333333,9.090909,-8.333333,18.181818,-28.571429,-92.307692,1280,42.028986,-39.795918,-37.288136
Jan,Personal Vehicles,,3.174603,-100,,,-20.779221,40.983607,-34.883721,-42.857143,43.75,30.434783,-36.666667,84.210526,-52.857143,12.121212,18.918919,27.272727,-16.071429,2.12766,-16.666667,-7.5,8.108108,-25,36.666667,-14.634146,-91.428571,1033.333333,20.588235,-29.268293,-27.586207
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Total People,,19.892473,-100,,,-30.434783,50.446429,-37.982196,-19.138756,-20.118343,27.407407,-34.883721,139.285714,-63.80597,28.865979,24,33.548387,-34.299517,14.705882,-20.512821,-8.064516,8.77193,-13.709677,23.364486,-24.242424,-91,1044.444444,35.92233,-37.142857,-34.090909
Jan,Total Vehicles,,-65.116279,-100,,,162.264151,-5.755396,-41.221374,3.896104,-22.5,-53.225806,224.137931,-4.255319,-75.555556,-40.909091,38.461538,-11.111111,25,140,-62.5,238.888889,-73.770492,56.25,-100,,,,,,
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,,,,,,,,,-39.285714,-29.411765,225,-23.076923,-100,,,,0,-100,,,-95.238095,-100,,,,,,,
