month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1,,
Jan,Personal Vehicle Passengers,,-203,-704,0,812,111,-306,120,-302,54,46,95,332,-506,-456,551,101,25,229,-136,-108,-71,70,-34,-19,-556,77,406,25,-6
Jan,Personal Vehicles,,-56,-361,0,407,145,-188,19,-145,79,-39,37,70,-157,0,68,60,-82,59,138,-143,96,-65,2,-19,-303,38,198,15,18
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total People,,-259,-1065,0,1219,256,-494,139,-447,133,7,132,402,-663,-456,619,161,-57,288,2,-251,25,5,-32,-38,-859,116,603,40,12
Jan,Total Vehicles,,24,-30,0,9,189,-110,27,-51,62,-56,-2,-28,-2,5,51,361,-80,-301,146,-216,68,-50,17,32,179,-224,22,-2,41
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,0,0,0,0,8,7,-12,-3,10,11,-4,-16,-1,10,2,-9,3,-1,0,-5,21,-10,7,5,64,-83,6,0,32
Jan,Truck Containers Loaded,,0,0,0,0,91,-62,27,-24,20,-38,3,2,-19,10,25,206,-57,-152,73,-105,17,-17,,9,39,-38,6,-2,-14
Jan,Trucks,,24,-30,0,9,90,-55,12,-24,32,-29,-1,-14,18,-15,24,164,-26,-148,73,-106,30,-23,8,18,76,-103,10,0,23
Feb,Bus Passengers,,0,0,0,0,28,12,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Buses,,0,0,0,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
