year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total People,,
1996,Total Vehicles,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,-18,-100
1997,Buses,-1,-100
1997,Pedestrians,-1,-100
1997,Personal Vehicle Passengers,-5652,-28.665619
1997,Personal Vehicles,-1769,-19.827393
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total People,-7440,-25.961337
1997,Total Vehicles,-165,-33.266129
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,0,
1997,Truck Containers Loaded,0,
1997,Trucks,-164,-33.131313
1998,Bus Passengers,0,
1998,Buses,0,
1998,Pedestrians,0,
1998,Personal Vehicle Passengers,-5289,-37.603982
1998,Personal Vehicles,-3100,-43.338459
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total People,-8389,-39.537185
1998,Total Vehicles,-182,-54.984894
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,0,
1998,Truck Containers Loaded,0,
1998,Trucks,-182,-54.984894
1999,Bus Passengers,20,
1999,Buses,1,
1999,Pedestrians,0,
1999,Personal Vehicle Passengers,4658,53.076572
1999,Personal Vehicles,3295,81.297804
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total People,7973,62.148258
1999,Total Vehicles,146,97.986577
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,0,
1999,Truck Containers Loaded,0,
1999,Trucks,145,97.315436
2000,Bus Passengers,-13,-65
2000,Buses,1,100
2000,Pedestrians,0,
2000,Personal Vehicle Passengers,846,6.297454
2000,Personal Vehicles,-341,-4.640719
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total People,492,2.365157
2000,Total Vehicles,1630,552.542373
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,156,
2000,Truck Containers Loaded,1188,
2000,Trucks,285,96.938776
2001,Bus Passengers,96,1371.428571
2001,Buses,6,300
2001,Pedestrians,0,
2001,Personal Vehicle Passengers,-194,-1.358543
